ticker,as_of
COST,2026-02-01
CPB,2026-02-01
CPRT,2026-02-01
CPT,2026-02-01
CRL,2026-02-01
CRM,2026-02-01
CSCO,2026-02-01
CSX,2026-02-01
CTAS,2026-02-01
CTRA,2026-02-01
CTSH,2026-02-01
CTVA,2026-02-01
CVS,2026-02-01
CVX,2026-02-01
D,2026-02-01
DAL,2026-02-01
DD,2026-02-01
DE,2026-02-01
DFS,2026-02-01
DG,2026-02-01
DGX,2026-02-01
DHI,2026-02-01
DHR,2026-02-01
DIS,2026-02-01
DLR,2026-02-01
DLTR,2026-02-01
DOV,2026-02-01
DOW,2026-02-01
DPZ,2026-02-01
DRI,2026-02-01
DTE,2026-02-01
DUK,2026-02-01
DVA,2026-02-01
DVN,2026-02-01
DXCM,2026-02-01
EA,2026-02-01
EBAY,2026-02-01
ECL,2026-02-01
ED,2026-02-01
EFX,2026-02-01
EG,2026-02-01
EIX,2026-02-01
EL,2026-02-01
ELV,2026-02-01
EMN,2026-02-01
EMR,2026-02-01
EOG,2026-02-01
EPAM,2026-02-01
EQIX,2026-02-01
EQR,2026-02-01
EQT,2026-02-01
ERIE,2026-02-01
ES,2026-02-01
ESS,2026-02-01
ETN,2026-02-01
ETR,2026-02-01
ETSY,2026-02-01
EVRG,2026-02-01
EW,2026-02-01
EXC,2026-02-01
EXPD,2026-02-01
EXPE,2026-02-01
EXR,2026-02-01
F,2026-02-01
FANG,2026-02-01
FAST,2026-02-01
FCX,2026-02-01
FDS,2026-02-01
FDX,2026-02-01
FE,2026-02-01
FFIV,2026-02-01
FICO,2026-02-01
FIS,2026-02-01
FITB,2026-02-01
FLT,2026-02-01
FMC,2026-02-01
FOX,2026-02-01
FOXA,2026-02-01
FRT,2026-02-01
FSLR,2026-02-01
FTNT,2026-02-01
GD,2026-02-01
GE,2026-02-01
GIS,2026-02-01
GL,2026-02-01
GLW,2026-02-01
GM,2026-02-01
GOOG,2026-02-01
GOOGL,2026-02-01
GPC,2026-02-01
GPN,2026-02-01
GRMN,2026-02-01
GS,2026-02-01
GWW,2026-02-01
HAL,2026-02-01
HAS,2026-02-01
HBAN,2026-02-01
HCA,2026-02-01
HD,2026-02-01
HES,2026-02-01
HIG,2026-02-01
HII,2026-02-01
HLT,2026-02-01
HOLX,2026-02-01
HON,2026-02-01
HPE,2026-02-01
HPQ,2026-02-01
HRL,2026-02-01
HSIC,2026-02-01
HST,2026-02-01
HSY,2026-02-01
HUBB,2026-02-01
HUM,2026-02-01
HWM,2026-02-01
IBM,2026-02-01
ICE,2026-02-01
IDXX,2026-02-01
IEX,2026-02-01
IFF,2026-02-01
ILMN,2026-02-01
INCY,2026-02-01
INTC,2026-02-01
INTU,2026-02-01
INVH,2026-02-01
IP,2026-02-01
IPG,2026-02-01
IQV,2026-02-01
IR,2026-02-01
IRM,2026-02-01
ISRG,2026-02-01
IT,2026-02-01
ITW,2026-02-01
IVZ,2026-02-01
J,2026-02-01
JBHT,2026-02-01
JCI,2026-02-01
JNJ,2026-02-01
JNPR,2026-02-01
JPM,2026-02-01
K,2026-02-01
KDP,2026-02-01
KEY,2026-02-01
KEYS,2026-02-01
KHC,2026-02-01
KIM,2026-02-01
KLAC,2026-02-01
KMB,2026-02-01
KMI,2026-02-01
KMX,2026-02-01
KO,2026-02-01
KR,2026-02-01
KVUE,2026-02-01
L,2026-02-01
LDOS,2026-02-01
LEN,2026-02-01
LH,2026-02-01
LHX,2026-02-01
LIN,2026-02-01
LKQ,2026-02-01
LLY,2026-02-01
LMT,2026-02-01
LNT,2026-02-01
LOW,2026-02-01
LRCX,2026-02-01
LULU,2026-02-01
LVS,2026-02-01
LW,2026-02-01
LYB,2026-02-01
LYV,2026-02-01
MA,2026-02-01
MAA,2026-02-01
MAR,2026-02-01
MAS,2026-02-01
MCD,2026-02-01
MCHP,2026-02-01
MCK,2026-02-01
MCO,2026-02-01
MDLZ,2026-02-01
MDT,2026-02-01
MET,2026-02-01
META,2026-02-01
MGM,2026-02-01
MHK,2026-02-01
MKC,2026-02-01
MKTX,2026-02-01
MLM,2026-02-01
MMC,2026-02-01
MMM,2026-02-01
MO,2026-02-01
MOS,2026-02-01
MPC,2026-02-01
MPWR,2026-02-01
MRK,2026-02-01
MRNA,2026-02-01
MRO,2026-02-01
MS,2026-02-01
MSCI,2026-02-01
